,Residential Property Price Index ;  Sydney ;,Residential Property Price Index ;  Melbourne ;,Residential Property Price Index ;  Brisbane ;,Residential Property Price Index ;  Adelaide ;,Residential Property Price Index ;  Perth ;,Residential Property Price Index ;  Hobart ;,Residential Property Price Index ;  Darwin ;,Residential Property Price Index ;  Canberra ;
2005-12-01,81.8,64,75,71.6,70,79.1,60.2,71.7
2006-03-01,80.8,65.4,75.6,72.2,75.6,81,63.2,72.5
2006-06-01,82.3,67.2,77.5,73.4,86.4,83.4,67.1,74.3
2006-09-01,82,68.1,78.5,73.8,95.1,84.6,67.3,76
2006-12-01,82.7,69.5,80.5,75.7,98.4,86.1,70.5,77.1
2007-03-01,81.9,71,83.6,77.2,99,88.5,72.2,78.6
2007-06-01,85.2,76,89,81.9,97.7,89.6,74.1,82
2007-09-01,87.3,79.5,93.4,86.9,99.4,92.3,76.3,86.3
2007-12-01,89.2,84.7,98.1,91.9,100.6,96,78.3,88.6
2008-03-01,88.5,85.7,100.6,94.9,99.5,93.9,77.7,89.3
2008-06-01,87.3,85.5,101.3,93.8,97.6,95.2,78.5,87.7
2008-09-01,85.7,83,97.5,94.1,95.3,93.3,81.8,85.2
2008-12-01,84.5,82.3,95.8,93.6,92.9,93.9,84.3,84.8
2009-03-01,83.9,82.5,96,93.2,92.5,93.4,87.2,85.8
2009-06-01,87.5,86.9,98.8,95.8,95.1,96.4,89,88.7
2009-09-01,91.1,92.5,102.1,97.2,97.6,98.6,92.3,92.1
2009-12-01,96,98.6,105.3,101.1,103.5,104.2,98.7,97.6
2010-03-01,98.9,103.3,106.4,102.8,106.5,105.9,99.4,101.7
2010-06-01,101.4,106.2,107,104.7,106.6,103.6,100.9,101.6
2010-09-01,101.1,104.3,105.3,103.9,103.8,103.5,101.1,101.6
2010-12-01,101.3,105.7,105,104.8,103.9,106.6,101.9,102.5
2011-03-01,101,104.7,102.9,103.3,103,105.9,99.5,102.3
2011-06-01,101.4,103.5,102.5,101,100.2,102.9,96.5,101.9
2011-09-01,99.9,101.3,99.9,100.4,99.1,100.6,96.9,98.7
2011-12-01,98.4,100,100.2,100.7,99.4,101.9,98.2,100.9
2012-03-01,100.3,99.4,100,99.3,100.5,99.4,100.8,100.8
2012-06-01,101.4,99.3,99.9,99.6,101,98.2,104.1,99.5
2012-09-01,100.9,98.6,100.8,99.2,102.1,98.1,105.5,99.5
2012-12-01,103.7,100.4,101.7,100.2,105.2,98.4,107.8,101.8
2013-03-01,104.7,100.8,101.9,99.8,107.5,100,109.6,100.3
2013-06-01,108.7,102.7,103.2,100.9,110.6,100,111,101
2013-09-01,112.8,105.9,104.5,101.3,110.7,101,111.3,101.1
2013-12-01,119,109.7,107.1,104.4,113.9,103.3,112.8,101.8
2014-03-01,121.7,110.7,108.5,105.4,114.8,103.7,114,102.3
2014-06-01,126,112.1,110.5,105.6,114.8,104.1,114.7,103.3
2014-09-01,128.8,113.1,111,106.1,114.5,104.4,114.4,103.5
2014-12-01,133.4,115.2,112.3,107.3,114.5,105.2,113.7,104.3
2015-03-01,137.6,115.9,112.7,108,114.4,105.7,113.5,105.4
2015-06-01,149.8,120.8,113.7,108.5,113.4,105.7,112.6,106.2
